sense_1,sense_2,mark
крюк кошка,скоба,0
гондола,гондола,0
прут,палка,0
просвещение образование,наука,0
ликвидация,ликвидировать,0
плыть ехать сплывать,идти плыть плавать,0
планирование,планировочный планировочные работы,0
царский,относящийся к царю принадлежащий ему царский титул,0
предание сказание легенда миф,сказка басня рассказ история,0
нож,серп,0
подносить,приносить,0
любовница сожительница,подруга,0
сетка сеточка,авоська сетка для продуктов,0
а норманн викинг,нормандский относящийся к современной Нормандии,0
лук шар лот,шар лот т е луковица шар лота,0
подписывание подписание подпись,подписка,0
чутьё,предчувствовать,0
классик,классика,0
взбираться,садиться,0
попросить понудить крутить вращать,попросить понудить скручивать сучить кун изе попросить чтобы скручил нитки,0
художественное произведение работа творчество,сочинение опус,0
тепловая обработка,термическая переработка,0
тратить,затрата,0
убийство,юр преднамеренное убийство,0
основной критерий принцип стандарт условная величина принятая за исходную основное мерило эталон,основной отправной исходный стандартный условно принятый,0
относящийся к музыкальной критике,музыкальный критик,0
делать предисловие выступать со вступительным словом,говорить первым,0
свято священно нерушимо,с благоговением,0
смех хихиканье,заливаться смехом хихикать,0
галиматья тарабарщина,невнятное бормотание сбивчивая речь,0
скоблить соскабливать соскоблить выскабливать выскоблить соскребать соскрести соскабливать с картины краску соскабливать примерзший снег лопатой соскрести грязь с сапог скоблить овчину скоблить доску ножом,сдирать содрать сорвать вместе с поверхностью с наружным слоем чего л сдирать кору с дерева,0
Случай случайность,Происшествие событие инцидент,0
расстрелять перестрелять,расстрелять весь диск все патроны,0
стенд,специальная установка для сборки и испытания машин испытательный стенд,0
катание,конькобежный спорт,0
подражание копирование,подделка подделывание,0
завоёвывать покорять захватывать,подчинять побороть,0
всемирная система космос,мировая система,0
метаться,беспокойно искать разыскивать,0
свешивать свесить,переместить вниз что л расположенное наверху или на поверхности чего л опускать опустить спустить вниз спустить в колодец спустить лампу,0
обнаружение излучения,обнаружение с помощью излучения метод меченых атомов,0
недостаток нужда отсутствие,не хватать недоставать,0
теснить,заслонять,0
теснить,вытеснять,0
кусать, кусать,0
послание,послание,0
мать мама,мать прародительница источник жизни,0
особенность,своеобразие,0
диаметрально противоположный,диаметрально противоположный диаметр,0
скрипучий,скрежет,0
кровоточащая рана,кровоточивая рана,0
буддийская картина живопись,изображение Будды,0
правовой,юридический,0
холм горка,овраг,0
аморальный п рочный человек,преступник,0
белить,накладывать белила белить,0
пояс времени,часовой пояс,0
освободитель, избавитель,0
число,сто тысяч,0
рекрутский набор,набор новобранцев в армию,0
сочувствие к кому,соболезнование,0
Свойство по объективный в знач,Соответствие объективной действительности отсутствие предвзятости в суждении о беспристрастность,0
назначить цену,устанавливать цену,0
потоптаться помяться,походить взад и вперёд,0
хозяйственный,хозяйский,0
сознание способность осмысленно воспринимать окружающее разум интеллект торжество разума,постижение понимание восприятие,0
губернаторский,губернатор,0
брачный,супружеский,0
подвязная подошва сандалия,сапог обувь,0
формальный,формальный поверхностный,0
хилый,хиреть,0
напоминать напомнить заставить кого либо вспомнить,вспоминать вспомнить возобновлять в памяти повторять повторить что либо,0
таможенная пошлина,таможенный сбор,0
детя или дите дитухно дитятко младенец ребенок малолетний няя дитятей до и ли лет когда детство переходит в отрочество,Детеныш,0
от литературный книжный,от литература,0
часть раздел,доля,0
стремление,порываться,0
множество масса большое число,большая часть,0
франк представитель ительница племени франков,европеец,0
карман,кошелёк,0
временно на время,во временном отношении,0
давать вручать комул,продавать вещи и недвижимое имущество,0
принимать участие,объединяться против кого л,0
зрелый,характерный для такого человека о возрасте поре жизни зрелый возраст,0
широкая равнина степь,пригородное поле поля близ города,0
читальня библиотека издательство,книжный магазин,0
разрушать разваливать крошить хлеб размывать плотину,приводить в беспорядок,0
и выплавлять выплавить что расплавив на огне отделять или очищать,Выплав выплавка также самый предмет все количество выплавленного,0
короткий проходящий ливень кратковременный дождь,небольшие осадки,0
движение шевеление,колыхание качание колебание,0
страж,часовой,0
закрытая экономика,замкнутая экономика,0
выложить,обложить облицевать,0
приучить приручить,исправить человека,0
территория район,регион,0
Похититель захватчик,Узурпатор,0
опт,оптовый,0
привыкать к чему л свыкаться с кем л,эта кошка очень ко мне привыкла,0
клеить приклеивать,льнуть прижиматься,0
открываться раскрываться отворяться,открываться представляться взору,0
допытываться доискиваться,экзаменовать,0
ассамблея,общее собрание,0
а беспорядки волнения смута,нарушать душевное равновесие,0
палата покои,каюта,0
систематический систематические тренировки,последовательно расскажите последовательно,0
ребро,ребро кромка,0
вспомнить,помянуть вспомянуть,0
исправить,выправить откорректировать,0
впасть,попасть,0
обратная поездка обратный путь,возврат,0
отряд напр пионерский,отделение,0
сверлить,дрель,0
присвоение себе власти положения хозяина,предоставление кому либо власти,0
"острить, заострять, затачивать", обострять,0
связывать животным наги попарно,связывать по рукам и ногам,0
монтаж,монтажный,0
очаг топка,костёр,0
клык зуб больших размеров выступающий из полости рта наружу и служащий для нападения и защиты у кабана и животных,бивни бивень сильно развитые выдающиеся наружу зубы у слона и некоторых других животных служащие для нападения и защиты,0
вводить,приводить,0
увеличиваться быть увеличенным увеличено поголовье скота,умножаться быть умноженным,0
персидский наместник в Аравии,неокор т е смотритель храма Артемиды Эфесской,0
бесцеремонный беззастенчивый,бесстыжий нескромный,0
расхищать,заимствовать совершать плагиат,0
график диаграмма схема кривая,изображать в виде диаграммы графика,0
надоесть, надоедать,0
нищета нищенство,нищенский относящийся к нищете нищенству,0
брань,ругань,0
холстина холстовьё простая грубая ткань льняная и конопляная толстое полотно есть и бумажный холст,Бумажная полосатая и клетчатая ткань цветной миткаль,0
идти,подходить приближаться наступать,0
протекция покровительство поддержка,защитное покрытие защитное устройство ограждение экранирование бронирование,0
вольный вольный человек,вольно жить вольно,0
голень часть ноги от колена до стопы мышцы голени артерии голени перелом голени,икроножный икроножная мышца икроножный нерв,0
лекарство лечебное вещество,медицина,0
программа,программирование,0
вред, ущерб,0
колебание, дрожь,0
партком партийный комитет,парткомовский парткомовский работник,0
огорчаться печалиться,волноваться беспокоиться,0
иметь успех удаваться,достигать,0
страх боязнь ужас жуть,страшилище,0
безработный,вакантный,0
памятливый памятный,диал памятный,0
авангард головной отряд передовое охранение форпост,сторожевое охранение,0
малолитражка,малолитражный автомобиль,0
кладбище,склеп,0
трахома заразное хроническое заболевание конъюнктивы и роговицы глаза,трахомный трахоматозный трахоматозный вирус,0
уносить уводить увозить,относить отнести,0
созревание вызревание,выращивание,0
свойство качество,натура характер нрав,0
амортизация заема,выкуп займа,0
вкрадываться,подкрадываться,0
а мелкое место мелководье,мелкий мелководный,0
грязь нечистота,отсутствие надлежащего ухода за чистотой тела одежды жилища,0
ткать,вязать,0
договориться,входить в соглашение,0
товар предмет,вставка,0
основная часть темы,вторить подхватывать хором поддакивать,0
пересекаться,вмешиваться в дело,0
две части вторая часть,два экземпляра книги и т п,0
участие,участие сочувствие симпатия,0
перепродавец,скупщик,0
территория сфера область,пределы страны границы,0
преступление вина грех проступок зло злодеяние,наказание кара осуждение обвинение,0
проверка проба испытание,в Афинах докимасия т е проверка гражданских прав лиц достигших совершеннолетия кандидатов на государственные должности и т д,0
жестокий,суровый,0
Измерить смерить заново еще раз,Примерить заново еще раз,0
во что бы то ни стало,так или иначе во всяком случае,0
пиковое время период резко выраженного максимума,рекордное время,0
эндшпиль,завершающая фаза заключительная стадия развязка,0
тянуть тащить,притягивать,0
клейка из картона производство картонных изделий,картонный переплёт,0
близнецы,двойня двое детей одновременно рожденных одной матерью родить близнецов дети близнецы родиться близнецами братья близнецы один из близнецов,0
резец для обточки углов,угловой резец,0
форсирование,усиливать,0
оскрёбки соскобленное,плёнка на дне кастрюли при подгорании молока или молочной пищи,0
актуальность,современность,0
танец при инициации девушек,танец соболезнования,0
Объемный пространственный рельефный,Относящийся к получению и воспроизведению объемных пространственных изображений,0
одухотворяющий вдохновляющий возбуждающий вдохновение,возбуждающий страсть влечение,0
пикировать,резко падать снижаться,0
брать в руки хватать забирать захватывать,держать в руках обнимать заключать в объятья,0
завёртывать завернуть увёртывать увернуть закутывать закутать укутывать кутать укутать,окутывать окутать,0
обменять ся,разменять,0
отсутствие нормальной пигментации кожи,утрата пигмента в клеточных ядрах,0
Узкий круг людей объединенных общностью интересов занятий и Веяния шестидесятых годов не прошли бесследно и для замкнутого морского мирка его кастовыми предрассудками,Узкая ограниченная область явлений жизни представлений чувств сфера интересов,0
естественные физические качества природный врождённый самобытный естественный,изначальное существование всего сущего в первобытном хаосе,0
крепиться,укрепляться,0
дешёвый чай заваренный с содой,зазеленевший чайный куст,0
считать подсчитывать калькулировать,рассматривать характеризовать определять,0
или печи пекать что пещи прогревать прокалять на огне либо в вольном духу нежидкую пищу снедь яство,Печка горное,0
ком глыба земли,могильный холм,0
заклятый,заклятый,0
раздел языкознания содержащий учение о формах словоизменения о строении слов видах словосочетаний и типах предложений историческая грамматика сопоставительная сравнительная грамматика,грамматический строй какого л языка грамматика азербайджанского языка,0
зависеть,основываться на чём л,0
выходной остаток,исходящий остаток,0
нарадоваться насладиться усладиться,тешиться радоваться,0
делать ответственным возлагать ответственность на,дать понять кому либо свою ответственность,0
будка,кабина водителя,0
скользкое место,скользкость,0
запекаться запечься,пережариваться пережариться опаляться опалиться,0
укомплектовать,содокладчик,0
уравнивать уровнять разравнивать разровнять заравнивать заровнять ровнять сравнивать сровнять,уравнивать уровнять улаживать уладить,0
с намерением с целью,сосредоточиться сфокусироваться,0
поддержка,содействие,0
сушение на огне,сушёное на огне,0
недоброкачественный,низкокачественный,0
купол свод,колпак,0
какао,питательный напиток приготовляемый из этого порошка чашка какао,0
волос,волосная трещина волосовина,0
волос,волоски,0
прятаться укрываться скрываться,прикрываться,0
изменчивый изменяющийся непостоянный переменчивый,подверженный мутациям,0
Диалектика материалистическая диалектика,Диалектика развитие процесс движения и развития,0
чародейка,волшебница,0
измерять вымерять определять размеры,ограниченный,0
мощь страны положение удельный вес государства в мире,обстановка в стране,0
чувство сильного смущения неловкости от сознания предосудительности неблаговидности своего поступка поведения задыхаться от стыда,устыжать устыдить кого,0
кроха крошка,у панировочные сухари,0
переборка из кладки,перегородка из кладки,0
скрести царапать,соскребать сгребать,0
Обезумевший,Безумный,0
все без исключения все в равной степени,никого ничего не остаётся,0
аристократ,лицо принадлежавшее дворянству,0
Тиканье,Звяканье,0
гусак и гусыня гуска гусиха гусухна известная дворовая и дикая птица гуся гусыня гусенок гусеныш птенец,Орел гусехват,0
жасмин,жасминный жасминовый,0
максимизация,увеличение до предела,0
Чувство радости довольства от приятных ощущений переживаний,То что вызывает создает такое чувство развлечение,0
повинный,преступность,0
пожизненный продолжающийся до конца жизни пожизненная пенсия пожизненная каторга пожизненное тюремное заключение пожизненная рента пожизненный собственник,пожизненно на всю жизнь до конца жизни передать пожизненно кому что,0
поклон,преклонение,0
верхний уровень,верхний ярус,0
отдавать отдать возвращать возвратить вернуть воротить,возвращать возвратить вернуть,0
мате парагвайский чай,чай,0
просить спрашивать спросить,проситься просить о разрешении что либо сделать,0
ФЫРКАТЬ фыркнуть фырчать выпускать с шумом воздух ноздрями,В игре в бабки положенье козны хребтом вверх жох,0
вырабатывать выделывать вырезать выдалбливать,отрабатывать,0
вершина верхушка,макушка,0
подкладывать подставлять подкладка подставка,закладывать основу,0
Относиться,Приписывать приписать кому-л что касается,0
строительство сооружение постройка создание восстановление сборка синтез,надстройка,0
гнилой,истлевший,0
плодоносный плодоносные виноградники,плодородный плодородные долины,0
воплотить,воплощать,0
настенная надпись,двустишие политического характера размещенное на стене на видном месте,0
штативная головка головка треноги головка штатива,камеры элемент системы видеонаблюдения,0
успокаиваться успокоиться,прийти в спокойное состояние успокоиться больной утих,0
страховой агент,страховой брокер,0
слияние предлога и определённого,слияние предлога и указательного местоимения,0
доверенность полномочие,указание приказание действовать каким л образом,0
продольное напряжение,продольное усилие,0
Роскошный пышный,Богатый,0
захватить присвоить что либо,овладеть чем либо,0
адвокатура деятельность адвоката,защитительная речь,0
копировальная машина,множительный аппарат,0
опасаться остерегаться быть настороже,предотвращать принимать меры предосторожности,0
Составиться из отдельных элементов частей, только складываться),0
производство оливкового масла,маслодобывающее предприятие,0
быть сонным находиться в состоянии полудрёмы дремать,навевать сон,0
скала утёс выступ обрыв обрывистый скалистый,берег реки береговой,0
собираться собраться,быть принятым на курсы набрано значительное количество учащихся,0
материальный вещественный,материальный имущественный,0
клеиться липнуть,липнуть прилипать прлипнуть приклеиваться приклеиться прицепляться прицепиться,0
вести за собой направлять указывать путь руководить,ведущий проводник гид поводырь,0
наказание кара взыскание,страдание мучение терзание,0
ударить ударять стукнуть бить,наталкиваться,0
очищать чистить,дезинфицировать стерилизовать,0
Перенесение присущих человеку психических свойств на явления природы животных растения предметы олицетворение,Свойственное многим религиям представление божества в человеческом образе,0
шезлонг кушетка,скамья для упражнений лёжа,0
удостоверенный,узаконенный,0
нефтедобывающий нефтедобывающая промышленность,нефтедобыча план нефтедобычи,0
фонарь фонарик,освещать светить фонарём,0
поклажа,багаж,0
тенор,сопрано,0
однокашник одноклассник одногруппник соученик,одноклассник одногруппник однокурсник,0
противозаконный незаконный противозаконный акт,противозаконно,0
унтер офицер полиции,вахмистр,0
игрок,баскетболист,0
Пленник пленный,Пленный пленённый взятый в плен,0
черепаха,черепаха,0
лямка подвесной ремень плечевой ремень ружейный ремень,поддерживающая повязка,0
скрупулёзность тщательность дотошность,щепетильно совестливо,0
прототип,опытный образец,0
выходить отправляться выбираться разг,выходить в свет публиковаться выпускаться,0
предлагать себя вызываться напрашиваться,намереваться собираться,0
целое число круглое число,число результат абсолютная величина дроби как отношение числителя к знаменателю,0
Внешний вид большого количества воды или другой жидкости которая беспрерывно кипит,Внешний вид огня или пламени стремительно поднимающегося вверх,0
пустить впустить,позволить разрешить,0
раздобыть что,выхлопотать что,0
машинное масло,смазочные масла,0
вести обратно,вести приводить обратно возвращать возвратить везти водить обратно,0
водворение,заселение,0
встать появиться,нависнуть появиться вылезти,0
кружить крутить,объезжать огибать,0
шить,вышивание,0
внимательно или пристально глядеть высматривать,осматривать,0
поехать двигаться перемещаться,уезжать отправляться,0
очень славный,почтеннейший,0
перенимать,применять,0
бунтовать восставать против кого,возмущение смута бунт,0
марш,маршевый,0
беззаконие,незаконность противозаконность,0
госпитализация,пребывание в больнице стационарное лечение,0
шея,шейка,0
подавать протягивать передавать,предлагать оказывать предоставлять,0
облицовка отделка,обточка,0
привлекать увлекать занимать заинтересовывать,вступать в бой открывать огонь скрещивать шпаги начинать поединок,0
цвет оттенок окраска,цвет лица,0
Гостиная зал зала устар,Холл,0
отказ от своего права,отказ от права голоса,0
разветвляющаяся дорога ответвление дороги,распутье,0
сооружение строительство постройка возведение стройка,построенная фигура конструкция,0
Короткая волна,Коротковолновый,0
прежний,старинный,0
ранение,травма,0
зубреный кривой нож для срезки или сжатия хлеба с корня,Серптрава серпий серпуха котр язычник пильная идет на желтую краску,0
погружать во впиваться,втыкать вонзать врезать всаживать в землю,0
не подлежащий пользованию не могущий быть использованным,не могущий быть использованным несвободный неисправный выведенный из строя,0
сохраняющий предохраняющий,консервативный,0
норма размер уровень величина,обычно облагать местным налогом,0
С малочисленной немногочисленной армией,Маломощный слабосильный малосильный,0
незамкнутая поверхность,открытая поверхность,0
мелкий служащий мелкий чин,передать в суд,0
бросить,подбросить,0
Храм Солнца,Житань сеть отелей в Китае,0
начинать дуть дуть время от времени о ветре,задувать тушить,0
другой иной другой человек другая работа в другое время,прочий прочие бумага и прочие канцелярские принадлежности,0
кремень,булыжник барбаст ю к связь узы,0
вертел шампур,кабаньи клыки,0
светиться,лучистый,0
ранить себя,ранить друг друга,0
естественный,натуральный,0
вздремнуть,проспать не просыпаясь,0
авторитетное мнение заявление,изречение сентенция афоризм,0
обитающий проживающий живущий,обитаемый служащий жилищем,0
качество сухого,Сухара тощий сухой человек,0
сила огня интенсивность горения,тепловой движимый силой огня тепловой,0
соответствовать друг другу быть в соответствии между собой быть в контакте,энергично друг за друга взяться ухватиться напр в борьбе,0
проветривание вентиляция,тех продувание,0
рубашечный годный подходящий предназначенный для рубашек рубашечная ткань,ткань материал для рубашки купить материал для рубашки материал на две рубашки,0
бежать вместе с бежать за другими,двигаться вместе,0
пуп,пуповина,0
сниженный уменьшенный,приведённый сокращённый,0
нечистая сила,обряд заклинаний злых духов женщинами в Египте,0
НЕТЛЕННЫЙ не истлевающий не гниющий не могущий истлеть сгнить,Несокрушимый не гибнущий вечный,0
ловкий шустрый,находчивый сметливый,0
фильтр,приспособление или вещество служащие для очищения жидкостей или газов от ненужных твердых частиц примесей,0
генерал,военачальник полководец,0
доступный,сходный доступный,0
чуткий,чувствительность,0
попадать попасть в кого что либо достигать достигнуть кого чего либо чем либо брошенным выстреленным,задевать задеть кого что либо прикасаться прикоснуться к кому чему либо,0
чуять почуять,чуять почуять,0
обрезать подрезать деревья кустарник и обрубать ветки,быть подрезанным обрубленным о ветвях,0
имеющий широкую пурпурную полосу,носящий латиклавию,0
поле обрабатываемая земля земельный надел пахотная земля пашня нива,земледелие хлебопашество,0
крепким,вытянувшийся выросший взрослый,0
приправлять сдабривать,прикреплять,0
тип,образцово-показательный,0
текст китайка нанка,сад китайка,0
удушающий удушливый удушливый газ,душный душный спёртый воздух,0
бросаться кидаться,уст происходить быть родом,0
заботиться поддерживать стариков родителей,чествовать старейшин подношением вина и пищи,0
оператор,крановщик,0
тишина,безмолвный,0
опорожнять освобождать очищать,чистить очищать прочищать вычищать,0
ходить ездить курсировать посещать,ходить посещать курсировать ездить,0
бросать оземь швырять,оговаривать возводить напраслину,0
прибивать приколачивать прикреплять,примыкать прилегать,0
вдыхать вдохнуть втягивать втянуть воздух,курить папиросу втягивая дым,0
давать согласие,давать увольнительную,0
разъединение,расходиться,0
край,сторона,0
заставлять нест на плечах спине,рэх ийн йлдэгд быть поднятым,0
петь напевать,петь распевать,0
рыть когтями рыться,чиркать,0
общее названье всех мелкослоистых ископаемых есть шпат известковый полевой плавиковый,Конская болезнь лошадь на ходу судорожно дергает задними ногами,0
крытая лодка,баржа,0
миролюбивый спокойный кроткий,свойственный миролюбивому спокойному,0
разлив реки паводок,поток,0
жженный,пережженный,0
налить разлить заправить,налить разлить,0
спешить вместе с другими,ускорение,0
заставлять писать писать много писем,диктовать,0
ветвь,хворост хворостина,0
каждодневный ежедневный,дневной дневная учебная нагрузка дневная норма дневной сбор дневная прибыль,0
юноша парень подросток,венгерская революционная молодёжь г,0
ОТРЫВАТЬ оторвать что от чего отделять разрывая отторгать,Отрывать кого от дела от работы отвлечь помешать не дать заниматься,0
убедить уверить,переубедить,0
мышление мыслительные способности,беспокоиться о чём либо замышлять что либо,0
доходить дойти доезжать доехать добираться добраться мы доехали дошли добрались до села мы доехали дошли добрались до реки поезд дошёл до станции,догонять догнать достигать достигнуть машины догнали туристов,0
пах,ударить в пах,0
промежуточная станция вспомогательная станция,придорожная станция,0
колонна,строй кильватера,0
авансовая выдача,авансовый взнос,0
перфорация,прокол,0
закрывать прикрывать накрывать,закрывать заканчивать,0
мусульмански по мусульмански,по азербайджански,0
а в именном употреблении,дата число,0
тридцатое число,обязательство наследника в течение тридцати дней,0
вздуваться, раздуваться,0
а резкое движение толчок,б резко бросить,0
буддийская школа буддисты,буддийский монастырь,0
понять разобрать,осознать,0
отправляться отправиться уезжать уехать,отправляться препровождаться совершаться,0
иначе иным способом иным образом по другому,в других отношениях во всём остальном,0
перекрашивать снова красить,хорошо покрасить,0
ДЫРА дира дырка дырина дырина дыры дырки дырья и дырье скважина отверстие сквозное либо яма ямка,растение Дырить что делать дыры продырявливать,0
обслуженный,поданный,0
зачёркивание перечёркивание,стирание удаление,0
падать валиться,пасть погибнуть,0
формальность,процедура,0
посёлок,кишлак,0
хозяйство двор,хозяйство,0
белеть становиться белым,бледнеть зажелтеть о цвете лица,0
А предлог,причина повод основание,0
жалкий вызывающий жалость плачевный бедный несчастный жалобный,жалеть проявлять жалость,0
последние угасающие лучи тусклый слабый свет,милость благотворное влияние благосклонность,0
низкий невысокий,нижний находящийся внизу,0
мигнуть,подмигнуть,0
прерывистость неровность,перебои,0
Регистр,Диапазон,0
рекомендовать представлять,предварительно поставить в известность,0
превосходить перегонять опережать,превышать,0
вырасти разрастись вытянуться,вырасти появиться возникнуть,0
снижать,сбавлять плату,0
безмерный неизмеримый бесконечный,не ограничивать не ставить предела,0
род мореходного судна,кочевье кочевка инородцев,0
должник,ссудополучатель,0
гвоздь,шуруп,0
скопление гравия, карьер гравия,0
любопытный вмешивающийся в чужое дело нескромный,нескромный,0
застывать затвердевать сгущаться,скрепление схватывание затвердевание бетона,0
падать проваливаться,пропадать исчезать,0
эволюция,форма развития заключающаяся в постепенном количественном изменении подготавливающем качественное изменение необратимость эволюции законы эволюции факторы эволюции,0
переход переезд,перестановка,0
берег открытый морским волнам морскому прибою,каменистое побережье,0
собирание объеденение или объеденение сплочение,сбор,0
а главная часть основное,число очков которое играющий в кости называет перед броском,0
